64054,8,208,0,48,3,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11851,
64054,8,209,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11873,
64053,8,206,0,53,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11885,
64053,8,206,0,48,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11907,
64053,8,205,0,58,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11929,
64054,8,172,0,49,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11951,
64054,8,205,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11973,
64053,8,207,0,52,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,11995,
64054,8,208,1,45,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12019,
64054,8,209,1,44,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12041,
64054,8,214,0,46,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12063,
64054,8,200,0,49,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12095,
64054,8,209,0,52,3,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12117,
64054,8,211,1,33,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12139,
64054,8,216,0,55,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12161,
64053,8,206,0,36,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12183,
64053,8,214,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12205,
64054,8,216,0,64,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12227,
64054,8,206,0,53,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12249,
64053,8,206,0,101,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12271,
64053,8,206,0,55,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12293,
64053,8,207,0,57,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12315,
64053,8,205,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12347,
64053,8,207,2,52,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12369,
64053,8,213,0,8,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12401,
64053,8,207,0,12,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12423,
64053,8,211,0,44,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12445,
64053,8,207,0,38,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12457,
64054,8,208,0,45,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12479,
64054,8,211,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12501,
64053,8,191,0,44,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12525,
64054,8,205,0,54,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12547,
64053,8,209,0,35,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12569,
64053,8,207,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12591,
64053,8,208,0,52,12,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12613,
64053,8,206,5,62,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12635,
64053,8,207,2,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12647,
64053,8,203,0,44,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12679,
64053,8,214,0,49,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12701,
64053,8,209,0,46,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12723,
64053,8,221,0,40,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12745,
64053,8,183,0,63,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12777,
64053,8,207,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12789,
64053,8,207,0,55,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12831,
64053,8,214,0,48,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12853,
64053,8,208,0,48,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12865,
64053,8,209,0,48,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12897,
64053,8,203,0,39,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12919,
64053,8,199,0,53,120,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12941,
64054,8,209,0,50,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12963,
64053,8,208,0,33,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,12985,
64053,8,212,0,40,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,13017,
64053,8,205,0,48,0,65429,2098,65438,2063,0,7211,0,9814,0,7255,0,10204,4160,1028,0,0,1000,1,0,64,13041,
